AD2AD	AD2HC	HC2HC	HC2AD 	Accuarcy	Sensitivity	Specifity	Precision	F1 score	AUC
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
21	1	60	1	97.59036144578313	95.45454545454545	98.36065573770492	95.45454545454545	95.45454545454545	0.9690760059612519
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
21	1	61	0	98.79518072289157	95.45454545454545	100.0	100.0	97.67441860465117	0.9772727272727273
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246
