AD2AD	AD2HC	HC2HC	HC2AD 	Accuarcy	Sensitivity	Specifity	Precision	F1 score	AUC
24	1	20	3	91.66666666666667	96.0	86.95652173913044	88.88888888888889	92.3076923076923	0.9147826086956521
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	22	1	97.91666666666667	100.0	95.65217391304348	96.15384615384616	98.0392156862745	0.9782608695652174
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
24	1	23	0	97.91666666666667	96.0	100.0	100.0	97.95918367346938	0.98
25	0	22	1	97.91666666666667	100.0	95.65217391304348	96.15384615384616	98.0392156862745	0.9782608695652174
25	0	21	2	95.83333333333333	100.0	91.30434782608695	92.5925925925926	96.15384615384615	0.9565217391304348
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	22	1	97.91666666666667	100.0	95.65217391304348	96.15384615384616	98.0392156862745	0.9782608695652174
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	22	1	97.91666666666667	100.0	95.65217391304348	96.15384615384616	98.0392156862745	0.9782608695652174
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
24	1	23	0	97.91666666666667	96.0	100.0	100.0	97.95918367346938	0.98
25	0	22	1	97.91666666666667	100.0	95.65217391304348	96.15384615384616	98.0392156862745	0.9782608695652174
24	1	21	2	93.75	96.0	91.30434782608695	92.3076923076923	94.11764705882352	0.9365217391304348
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
25	0	21	2	95.83333333333333	100.0	91.30434782608695	92.5925925925926	96.15384615384615	0.9565217391304348
25	0	23	0	100.0	100.0	100.0	100.0	100.0	1.0
