AD2AD	AD2HC	HC2HC	HC2AD 	Accuarcy	Sensitivity	Specifity	Precision	F1 score	AUC
23	1	60	2	96.51162790697674	95.83333333333333	96.7741935483871	92.0	93.87755102040818	0.9630376344086021
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
23	1	60	2	96.51162790697674	95.83333333333333	96.7741935483871	92.0	93.87755102040818	0.9630376344086021
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
23	1	61	1	97.67441860465117	95.83333333333333	98.38709677419355	95.83333333333333	95.83333333333334	0.9711021505376345
23	1	60	2	96.51162790697674	95.83333333333333	96.7741935483871	92.0	93.87755102040818	0.9630376344086021
24	0	61	1	98.83720930232558	100.0	98.38709677419355	96.0	97.95918367346938	0.9919354838709677
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
23	1	62	0	98.83720930232558	95.83333333333333	100.0	100.0	97.87234042553192	0.9791666666666667
24	0	61	1	98.83720930232558	100.0	98.38709677419355	96.0	97.95918367346938	0.9919354838709677
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	61	1	98.83720930232558	100.0	98.38709677419355	96.0	97.95918367346938	0.9919354838709677
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	61	1	98.83720930232558	100.0	98.38709677419355	96.0	97.95918367346938	0.9919354838709677
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
23	1	62	0	98.83720930232558	95.83333333333333	100.0	100.0	97.87234042553192	0.9791666666666667
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
24	0	62	0	100.0	100.0	100.0	100.0	100.0	1.0
